"","LD1","LD2","1","2","3"
"jaka_05_jaka_05",27.9131471618437,0.536112582267149,0,1,0
"jaka_06_jaka_06",22.9634744945175,-0.0907892055549059,0,1,0
"jaka_08_jaka_08",18.4771892193001,-0.583115312528605,0,1,0
"jaka_09_jaka_09",23.6598758387631,-0.373558865659771,0,1,0
"jaka_10_jaka_10",25.2888572808235,0.338001982686373,0,1,0
"jaka_11_jaka_11",27.0670913032431,-0.890832076607687,0,1,0
"jaka_12_jaka_12",25.6811730058936,-0.224189773693121,0,1,0
"jaka_13_jaka_13",25.8169026692352,-0.538064459151749,0,1,0
"jaka_14_jaka_14",22.9662297651771,-0.60168392256104,0,1,0
"jaka_15_jaka_15",27.0272639746054,0.534258281894057,0,1,0
"jaka_16_jaka_16",23.7270714163985,0.403686829267654,0,1,0
"jaka_17_jaka_17",22.2505046321425,0.377617870474422,0,1,0
"jaka_18_jaka_18",24.9810770192557,0.271220937241697,0,1,0
"JAMA04_JAMA04",-2.41138643273326,-3.35990067651207,1,0,0
"JAMA05_JAMA05",-3.98334215092308,-2.29967475045088,1,0,0
"JAMA11_JAMA11",-3.327599521045,-2.36605841538895,1,0,0
"JAMA25_JAMA25",-1.79145525437639,-2.54586211124515,1,0,0
"RIBA02_RIBA02",26.9903029663328,-0.767180596931106,0,1,0
"RIBA03_RIBA03",26.0007358696353,0.882841404599634,0,1,0
"RIBA04_RIBA04",22.4837888912163,0.2637330002669,0,1,0
"RIBA05_RIBA05",22.4927856039087,-0.460177168217687,0,1,0
"RIBA06_RIBA06",23.8832844587398,-0.614168320151153,0,1,0
"RIBA07_RIBA07",24.4805596725773,-1.41398625131411,0,1,0
"RIBA08_RIBA08",26.522809694007,-0.165931860269087,0,1,0
"RIBA09_RIBA09",21.8215529783975,0.0854394226986247,0,1,0
"RIBA10_RIBA10",24.5784623954462,0.0602812352088048,0,1,0
"RIBA12_RIBA12",26.1533017623155,0.177322992468774,0,1,0
"RIBA14_RIBA14",23.0144956747846,-0.1001063951329,0,1,0
"RIBA27_RIBA27",25.7407061380368,-0.966264858628417,0,1,0
"RIBA28_RIBA28",25.4219484504146,0.0123088625652955,0,1,0
"M1-RN-002_M1-RN-002",-3.08367760249336,4.39463018228885,0,0,1
"M1-RN-010_M1-RN-010",-1.85200184028392,4.66542119486291,0,0,1
"M1-RN-014_M1-RN-014",-3.16795089104911,4.9535271384117,0,0,1
"M1-RN-015_M1-RN-015",-3.40998942899629,5.78850648963185,0,0,1
"M1-RN-018_M1-RN-018",-3.61811315648086,5.25581805676956,0,0,1
"M1-RN-024_M1-RN-024",-1.95237090998842,4.14833974598475,0,0,1
"M1-RN-029_M1-RN-029",-3.50636419015219,3.09507760862386,0,0,1
"M1-RN-033_M1-RN-033",-3.90843053109626,4.66267747135901,0,0,1
"M1-RN-034_M1-RN-034",-3.25241869123196,3.89421794264877,0,0,1
"M1-RN-036_M1-RN-036",-4.08588937727734,4.87119760852728,0,0,1
"M1-RN-051_M1-RN-051",-0.685936785241597,4.26168074082529,0,0,1
"M1-RN-054_M1-RN-054",-2.677085356914,4.42235015997052,0,0,1
"M1-RN-056_M1-RN-056",-4.34108547216467,4.12141663770472,0,0,1
"M1-RN-059_M1-RN-059",-3.2586630802535,3.98747002462821,0,0,1
"M1-RN-061_M1-RN-061",-2.67061414465504,4.64105067099627,0,0,1
"M1-RN-063_M1-RN-063",-2.85742388153014,4.25891838131569,0,0,1
"M1-RN-067_M1-RN-067",-3.34718079617176,3.45337902959158,0,0,1
"M1-RN-073_M1-RN-073",-2.05612452630794,5.63576731239255,0,0,1
"M1-RN-076_M1-RN-076",-2.85405892929965,4.87327237741873,0,0,1
"M1-RN-078_M1-RN-078",-3.71794806974591,3.96332417900129,0,0,1
"M1-RN-081_M1-RN-081",-2.76144087545536,4.06649529068178,0,0,1
"M1-RN-084_M1-RN-084",-3.5655962878062,3.72145297565329,0,0,1
"M1-RN-086_M1-RN-086",-3.20710126008253,5.02289960380064,0,0,1
"M1-RN-088_M1-RN-088",-2.23852381127021,5.27284960407173,0,0,1
"M1-RN-091_M1-RN-091",-3.2043346961547,4.45050726282483,0,0,1
"M1-RN-093_M1-RN-093",-3.32285839804127,3.76626434986769,0,0,1
"M1-RN-095_M1-RN-095",-2.46809081433042,4.8165556896466,0,0,1
"M1-RN-097_M1-RN-097",-3.71058979725622,4.60964878182147,0,0,1
"M1-RN-098_M1-RN-098",-2.201090216233,3.19245617132124,0,0,1
"M1-RN-100_M1-RN-100",-1.48712170474669,4.36587095469987,0,0,1
"M1-RN-102_M1-RN-102",-3.17095084853583,4.75727842742357,0,0,1
"M1-RN-108_M1-RN-108",-3.14522359357045,5.26075057991811,0,0,1
"M1-RN-112_M1-RN-112",-3.45818546875844,4.28017104655134,0,0,1
"M1-RN-114_M1-RN-114",-2.99104667686236,3.67335832970581,0,0,1
"M1-RN-116_M1-RN-116",-3.82256488856419,5.09915208125713,0,0,1
"M1-RN-119_M1-RN-119",-3.68657628090233,4.02133507595615,0,0,1
"M1-RN-122_M1-RN-122",-3.44974290188493,4.72606334589563,0,0,1
"M1-RN-124_M1-RN-124",-3.09409333512403,5.74545179315705,0,0,1
"M1-RN-129_M1-RN-129",-3.07934592225299,4.54753600696075,0,0,1
"M1-RN-131_M1-RN-131",-2.13629072194598,4.11365449280372,0,0,1
"M1-RN-133_M1-RN-133",-3.7991486168088,3.69989411929053,0,0,1
"M1-RN-136_M1-RN-136",-2.85738698604244,4.42820441837007,0,0,1
"M1-RN-137_M1-RN-137",-2.06407784677451,4.35785230862054,0,0,1
"M1-RN-143_M1-RN-143",-2.6092417277377,5.38522650482031,0,0,1
"M1-RN-144_M1-RN-144",-3.08173144018024,5.63637736580785,0,0,1
"M1-RN-148_M1-RN-148",-3.83908110020154,3.89759638812825,0,0,1
"M1-RN-149_M1-RN-149",-4.84267085891664,4.995648990161,0,0,1
"PH_05_PH_05",-1.13071996011,3.92432422636977,0,0,1
